 219 A  219 B     0.303333     0.050555
 212 A  212 B     0.189220     0.009719
  37 A   37 B     0.100116     0.084076
 216 A  216 B     0.343294     0.038220
  58 A   58 B     0.688622     0.035214
 190 A  190 B     0.149356     0.064028
  26 A   26 B     0.000000     0.000000
 211 A  211 B     0.000000     0.000000
  55 A   55 B     0.045052     0.063713
 195 A  195 B     0.375405     0.080576
  27 A   27 B     0.000000     0.000000
  56 A   56 B     0.356930     0.017282
  59 A   59 B     0.328822     0.062975
  34 A   34 B     0.110469     0.088397
  25 A   25 B     0.000000     0.000000
 199 A  199 B     0.693342     0.210562
 198 A  198 B     0.533828     0.026749
  35 A   35 B     0.417352     0.195994
  21 A   21 B     0.000000     0.000000
  33 A   33 B     0.103516     0.078191
  51 A   51 B     0.911354     0.042626
 188 A  188 B     0.184944     0.107905
  62 A   62 B     0.080580     0.054826
 197 A  197 B     0.287969     0.164242
  39 A   39 B     0.366460     0.142783
  54 A   54 B     0.864306     0.044245
  57 A   57 B     0.772520     0.051533
 214 A  214 B     0.523446     0.041860
 202 A  202 B     0.123853     0.077293
  48 A   48 B     0.401555     0.016356
  40 A   40 B     0.466543     0.066467
 194 A  194 B     0.050134     0.000000
 204 A  204 B     0.416432     0.122354
 221 A  221 B     0.476012     0.007339
 187 A  187 B     0.384322     0.093837
  30 A   30 B     0.000000     0.000000
 218 A  218 B     0.590884     0.189454
 220 A  220 B     0.160877     0.002597
 208 A  208 B     0.024829     0.043005
  47 A   47 B     0.635091     0.110182
 225 A  225 B     0.299065     0.024269
  32 A   32 B     0.463206     0.205247
 203 A  203 B     0.257757     0.040262
  45 A   45 B     0.310000     0.000000
  52 A   52 B     0.844346     0.050007
  49 A   49 B     0.299009     0.027876
 222 A  222 B     0.322720     0.004649
  60 A   60 B     0.893086     0.031417
 207 A  207 B     0.073575     0.075767
  50 A   50 B     0.922462     0.054985
  20 A   20 B     0.000000     0.000000
 200 A  200 B     0.134496     0.051520
  31 A   31 B     0.000000     0.000000
 186 A  186 B     0.530458     0.045723
 206 A  206 B     0.006184     0.010710
 191 A  191 B     0.060625     0.037840
 189 A  189 B     0.124578     0.078940
  41 A   41 B     0.102239     0.038280
  22 A   22 B     0.000000     0.000000
  28 A   28 B     0.000000     0.000000
  36 A   36 B     0.628809     0.178969
 205 A  205 B     0.531489     0.100146
  29 A   29 B     0.000000     0.000000
  53 A   53 B     0.556923     0.078709
  23 A   23 B     0.000000     0.000000
 196 A  196 B     0.135968     0.060271
 201 A  201 B     0.513744     0.028440
 209 A  209 B     0.111355     0.088186
  61 A   61 B     0.497240     0.027317
 226 A  226 B     0.203024     0.010257
 213 A  213 B     0.400593     0.104358
 192 A  192 B     0.040218     0.000000
 224 A  224 B     0.683545     0.035161
  44 A   44 B     0.410000     0.160000
  42 A   42 B     0.280000     0.060000
 210 A  210 B     0.055509     0.000000
